warehouse_id,sku_id,product_family,annual_demand,avg_daily_demand,demand_std,avg_inventory,avg_safety_stock,avg_reorder_point,stockout_rate,avg_fill_rate,suggested_safety_stock,suggested_reorder_point,inventory_turnover_proxy,recommendation
WH_SOUTH,SKU_D,Electronics,54093,78.50943396226415,27.46991453346089,779.188679245283,98.2844702467344,218.4746008708273,0.055152394775036286,0.9978898505263396,45.0,595.0,69.42220984575151,Current policy broadly acceptable
WH_EAST,SKU_E,Household,50064,77.1402157164869,27.248520187755716,806.5208012326657,98.96764252696457,217.68258859784282,0.046224961479198766,0.9974728127517934,45.0,585.0,62.074034449556,Current policy broadly acceptable
WH_EAST,SKU_B,Household,56923,78.73167358229598,29.209766340871607,794.5601659751037,98.65560165975104,218.9640387275242,0.04426002766251729,0.9980578278653651,48.0,599.0,71.64089321057607,Current policy broadly acceptable
WH_EAST,SKU_A,Electronics,54328,76.73446327683615,28.852551043048507,792.3813559322034,98.2909604519774,215.67937853107344,0.043785310734463276,0.9980321953595939,48.0,585.0,68.56294585084652,Current policy broadly acceptable
WH_NORTH,SKU_D,Electronics,52957,77.0844250363901,25.955756911206766,780.9315866084426,100.20960698689956,218.89082969432314,0.043668122270742356,0.9981497190346293,43.0,583.0,67.81259832246039,Current policy broadly acceptable
WH_EAST,SKU_H,Household,52514,76.32848837209302,27.953948447592097,820.0639534883721,99.56976744186046,218.2747093023256,0.0436046511627907,0.998338543793632,46.0,580.0,64.03646907856023,Current policy broadly acceptable
WH_NORTH,SKU_B,Household,54156,76.81702127659574,27.906840654562615,805.0936170212766,99.34609929078015,217.30070921985816,0.04113475177304964,0.9983186839242887,46.0,584.0,67.26671141720006,Current policy broadly acceptable
WH_NORTH,SKU_A,Electronics,49955,78.66929133858268,29.16310466646562,784.823622047244,99.13700787401575,219.73858267716537,0.04094488188976378,0.9981509212315418,48.0,599.0,63.65124417342379,Current policy broadly acceptable
WH_NORTH,SKU_F,Food,57978,77.9274193548387,29.256835500090514,828.372311827957,97.3239247311828,215.61962365591398,0.04032258064516129,0.9981847347075674,48.0,593.0,69.99026786887747,Current policy broadly acceptable
WH_NORTH,SKU_H,Household,55462,78.66950354609929,27.4234988175329,788.6964539007092,97.70354609929078,217.79432624113474,0.03971631205673759,0.9985379304323541,45.0,596.0,70.32109720501195,Current policy broadly acceptable
WH_SOUTH,SKU_G,Electronics,48733,76.02652106084243,26.810403447809616,778.4711388455538,98.93447737909517,216.77067082683308,0.0390015600624025,0.9987663360558076,44.0,576.0,62.60090781563127,Current policy broadly acceptable
WH_NORTH,SKU_E,Household,51062,76.55472263868066,26.81833984958465,789.6446776611695,98.21889055472263,215.67016491754123,0.038980509745127435,0.9982152945551537,44.0,580.0,64.66452753311701,Current policy broadly acceptable
WH_NORTH,SKU_C,Food,53211,76.78354978354979,28.002516723897443,813.6349206349206,98.80663780663781,215.35209235209234,0.03896103896103896,0.9983229523270658,46.0,583.0,65.39911040012485,Current policy broadly acceptable
WH_SOUTH,SKU_B,Household,53256,75.43342776203966,27.485789264567117,781.5325779036827,100.05807365439094,215.31019830028328,0.03824362606232295,0.998702847245538,45.0,573.0,68.14303268438204,Current policy broadly acceptable
WH_NORTH,SKU_G,Electronics,48033,75.16901408450704,24.87207856787678,794.4115805946792,99.04225352112677,215.28794992175273,0.03755868544600939,0.9983693501789851,41.0,567.0,60.46362008474693,Current policy broadly acceptable
WH_SOUTH,SKU_A,Electronics,50382,74.97321428571429,27.36815073947949,801.2455357142857,99.44345238095238,215.89583333333334,0.03571428571428571,0.9986668257297544,45.0,570.0,62.879601513268966,Current policy broadly acceptable
WH_SOUTH,SKU_E,Household,51741,76.65333333333334,27.93477141495764,804.1718518518519,100.09777777777778,218.12444444444444,0.035555555555555556,0.9986861388575617,46.0,583.0,64.3407250338973,Current policy broadly acceptable
WH_EAST,SKU_C,Food,51043,76.98793363499246,26.52354319484636,827.1508295625943,98.6395173453997,214.7556561085973,0.03469079939668175,0.9987087730821583,44.0,583.0,61.70942248464171,Current policy broadly acceptable
WH_SOUTH,SKU_C,Food,51552,77.75565610859728,26.830350320535285,816.3408748114631,96.19155354449472,214.7526395173454,0.03469079939668175,0.9987433827540451,44.0,588.0,63.150090349091144,Current policy broadly acceptable
WH_SOUTH,SKU_F,Food,54526,77.78316690442226,26.64531696644088,824.7118402282454,98.37232524964337,217.64051355206848,0.034236804564907276,0.9985590950178799,44.0,588.0,66.11521423641682,Current policy broadly acceptable
WH_EAST,SKU_G,Electronics,51578,76.1861152141802,27.527999449162596,812.0901033973412,98.7149187592319,215.9261447562777,0.03249630723781388,0.9986696008116404,45.0,578.0,63.51265676582664,Current policy broadly acceptable
WH_EAST,SKU_F,Food,51551,77.63704819277109,27.845824419082437,847.2590361445783,95.99548192771084,213.34337349397592,0.0286144578313253,0.9990411656370419,46.0,589.0,60.84443812435565,Current policy broadly acceptable
WH_SOUTH,SKU_H,Household,55989,76.90796703296704,27.98758896169638,791.25,98.4423076923077,216.37362637362637,0.027472527472527472,0.9987648711302569,46.0,584.0,70.76018957345971,Current policy broadly acceptable
WH_EAST,SKU_D,Electronics,54529,77.56614509246089,28.219900493029147,789.520625889047,96.16927453769559,214.58748221906117,0.02702702702702703,0.998898208424834,47.0,590.0,69.06596004201552,Current policy broadly acceptable
